iter	Passed	Remaining
0	1	140
1	2	139
2	4	131
3	5	128
4	6	131
5	8	131
6	9	131
7	11	128
8	12	124
9	13	121
10	14	119
11	16	118
12	17	116
13	19	117
14	20	116
15	21	114
16	23	112
17	24	110
18	25	108
19	26	106
20	27	104
21	29	102
22	30	101
23	31	99
24	32	98
25	33	96
26	35	94
27	36	93
28	37	91
29	38	90
30	39	88
31	41	87
32	42	85
33	43	84
34	44	82
35	45	81
36	47	80
37	48	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	72	50
59	73	48
60	74	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	102	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	121	0
