iter	Passed	Remaining
0	173	172958
1	180	90310
2	182	60784
3	184	45970
4	186	37105
5	188	31200
6	192	27353
7	196	24319
8	197	21757
9	199	19703
10	200	18037
11	202	16646
12	210	16011
13	212	14967
14	213	14048
15	215	13273
16	217	12585
17	244	13321
18	246	12734
19	248	12172
20	251	11736
21	259	11525
22	261	11100
23	266	10826
24	278	10865
25	280	10510
26	282	10173
27	290	10081
28	291	9775
29	293	9504
30	295	9235
31	297	8987
32	302	8869
33	304	8659
34	306	8453
35	312	8359
36	322	8383
37	336	8508
38	338	8330
39	340	8161
40	342	8000
41	343	7844
42	346	7709
43	350	7615
44	352	7478
45	354	7347
46	375	7607
47	383	7599
48	385	7475
49	386	7352
50	388	7236
51	391	7133
52	394	7045
53	398	6977
54	400	6880
55	402	6780
56	404	6685
57	406	6594
58	409	6525
59	413	6485
60	416	6407
61	417	6318
62	419	6232
63	420	6148
64	421	6067
65	426	6034
66	429	5987
67	431	5915
68	433	5843
69	434	5775
70	436	5707
71	444	5725
72	448	5695
73	450	5636
74	467	5762
75	475	5783
76	478	5733
77	480	5678
78	483	5641
79	492	5668
80	494	5612
81	498	5578
82	504	5571
83	507	5529
84	509	5479
85	511	5431
86	529	5555
87	535	5546
88	538	5511
89	540	5466
90	542	5417
91	544	5370
92	550	5365
93	553	5330
94	554	5287
95	556	5243
96	559	5204
97	560	5162
98	577	5251
99	584	5259
100	586	5216
101	588	5177
102	589	5137
103	591	5099
104	595	5074
105	601	5071
106	603	5034
107	605	4998
108	607	4964
109	612	4959
110	619	4959
111	621	4927
112	624	4900
113	634	4933
114	636	4899
115	638	4865
116	639	4828
117	645	4824
118	647	4797
119	650	4767
120	652	4738
121	653	4706
122	659	4705
123	680	4810
124	683	4781
125	685	4757
126	691	4751
127	694	4730
128	696	4701
129	698	4671
130	700	4644
131	709	4665
132	711	4639
133	717	4638
134	726	4653
135	729	4634
136	732	4612
137	743	4643
138	745	4615
139	749	4601
140	762	4644
141	763	4613
142	775	4648
143	778	4626
144	780	4600
145	781	4574
146	809	4696
147	811	4671
148	813	4648
149	821	4653
150	823	4631
151	826	4608
152	828	4583
153	829	4558
154	833	4541
155	837	4533
156	839	4508
157	842	4491
158	852	4508
159	855	4489
160	857	4466
161	859	4444
162	861	4422
163	868	4428
164	870	4407
165	872	4385
166	875	4365
167	881	4367
168	884	4347
169	886	4325
170	916	4443
171	918	4423
172	921	4405
173	935	4440
174	950	4482
175	952	4461
176	956	4449
177	961	4441
178	964	4425
179	966	4403
180	978	4429
181	980	4408
182	982	4386
183	984	4367
184	986	4346
185	990	4332
186	994	4323
187	996	4304
188	998	4285
189	1002	4275
190	1009	4274
191	1011	4258
192	1014	4240
193	1016	4222
194	1027	4240
195	1029	4223
196	1032	4206
197	1033	4186
198	1037	4175
199	1042	4170
200	1049	4170
201	1059	4186
202	1061	4169
203	1064	4152
204	1073	4161
205	1075	4144
206	1077	4127
207	1079	4110
208	1090	4126
209	1092	4109
210	1094	4092
211	1096	4075
212	1100	4065
213	1109	4074
214	1111	4058
215	1113	4043
216	1123	4055
217	1126	4040
218	1128	4026
219	1135	4027
220	1138	4013
221	1140	3998
222	1145	3989
223	1154	3999
224	1160	3997
225	1168	4002
226	1170	3986
227	1172	3970
228	1174	3955
229	1180	3953
230	1186	3948
231	1188	3933
232	1190	3918
233	1203	3938
234	1205	3923
235	1207	3907
236	1222	3935
237	1224	3919
238	1226	3905
239	1234	3908
240	1238	3900
241	1242	3892
242	1249	3891
243	1251	3876
244	1252	3860
245	1255	3848
246	1268	3867
247	1270	3853
248	1317	3972
249	1351	4055
250	1353	4039
251	1368	4061
252	1373	4054
253	1380	4055
254	1384	4045
255	1387	4031
256	1389	4016
257	1394	4011
258	1443	4129
259	1448	4122
260	1451	4110
261	1454	4096
262	1463	4102
263	1466	4087
264	1477	4098
265	1481	4087
266	1486	4079
267	1512	4130
268	1549	4212
269	1552	4197
270	1563	4205
